"","species","centroid.distance","I.obs","I.res.s","I.res.w","p.similar","migStatus"
"357","Taphrolesbia griseiventris",NA,NA,NA,NA,NA,"1"
"358","Taphrospilus hypostictus",542150.76044381,0.423461742896263,0.495985107147268,0.412621222999615,0.0198019801980198,"1"
"359","Thalurania colombica",129416.831517426,0.737562236442072,0.745637370838212,0.73484805860896,0.0198019801980198,"1"
"360","Thalurania furcata",397297.642837343,0.538702392229776,0.532106588673963,0.500590482308378,0.0198019801980198,"1"
"361","Thalurania glaucopis",136972.472942358,0.533859762492491,0.481526660115024,0.528175417470072,0.376237623762376,"1"
"362","Thalurania ridgwayi",NA,NA,NA,NA,NA,"1"
"363","Thalurania watertonii",NA,NA,NA,NA,NA,"1"
"364","Thaumastura cora",220433.775840992,0.51217992524726,0.660651748551711,0.665976338071663,0.237623762376238,"1"
"365","Threnetes leucurus",464571.767761384,0.562365424243983,0.530563342200749,0.661687436871801,0.0198019801980198,"1"
"366","Threnetes niger",NA,NA,NA,NA,NA,"1"
"367","Threnetes ruckeri",84376.4579278955,0.683933775716673,0.72781911124155,0.730442136952781,0.0198019801980198,"1"
"368","Tilmatura dupontii",93199.8458325249,0.448043035585996,0.466462056864202,0.436118865870715,0.0198019801980198,"1"
"369","Topaza pella",NA,NA,NA,NA,NA,"1"
"370","Topaza pyra",NA,NA,NA,NA,NA,"1"
"371","Trochilus polytmus",6761.32528408676,0.718049778527266,0.710453261914084,0.783824195035046,0.0198019801980198,"1"
"372","Trochilus scitulus",NA,NA,NA,NA,NA,"1"
"373","Urochroa bougueri",40637.816556352,0.354173898095895,0.454229927874327,0.543482580673254,0.316831683168317,"1"
"374","Urochroa leucura",NA,NA,NA,NA,NA,"1"
"375","Urosticte benjamini",27639.2970912785,0.418078418963668,0.433226975993775,0.499503169699013,0.0198019801980198,"1"
"376","Urosticte ruficrissa",NA,NA,NA,NA,NA,"1"
